0	0.5	the and his with horror from has that scream killer for death first last book dead new blood films original 
1	0.5	the and with are effects action from for special star alien has new this series his films earth that ship 
2	0.5	her and the she with for who love has but woman when about that she's life sex their romantic two 
3	0.5	the and that this movie was but you film they for have not one about what all are just there 
4	0.5	the and film are that but not story this which most more characters for its with into from than one 
5	0.5	the and with for his from family story their joe disney who little voice animated kids young are home its 
6	0.5	the and it's with movie for bad all this out but like that just there's he's too who into when 
7	0.5	the his and that for with who life him man their when has world through one from american war men 
8	0.5	the and his with comedy funny for but are from who their humor jokes big jackie new has john while 
9	0.5	and the his with who him but action has good film more one from character that role than performance are 
